hitClass,exitSpeed,launchAngle,direction,distance,playingLevel
2,0,0,0,0,3
4,37.52021,16.3946724,12.07256,77.8186951,2
5,24.77000046,24.21999931,0.180000007,47.88999939,0
2,0,0,0,0,1
4,33.5963745,18.2094612,-11.2284575,69.6267853,1
2,0,0,0,0,2
3,32.9388428,8.108293,0.032197297,34.78544,1
3,40.2452049,8.83543,8.2,37.5511932,2
1,23.7810154,-3.86207366,23.5650959,6.00347567,0
5,32.7714081,41.52511,2.60988712,76.35257,1
3,42.05784,8.859058,-4.70084238,49.29337,2
2,0,0,0,0,1
1,26.05666,-3.76330042,12.5908861,8.487069,1
1,36.8093,-20.2023239,-12.303524,1.9521153,0
1,44.08937,-17.54272,-29.6940079,2.45423222,3
5,26.78123,37.2707,-0.5869164,59.8133049,3
5,36.0818253,39.0700645,14.9548388,86.25641,1
1,31.3271961,-11.12027,-34.034565,3.22767425,0
2,0,0,0,0,1
5,26.3336353,27.470089,-9.149082,54.8460922,0
5,35.644516,26.42217,18.66522,76.7479248,1
2,0,0,0,0,1
2,0,0,0,0,0
3,29.1089611,12.2943478,-3.83755517,37.6045456,2
3,37.1481934,13.5832644,-4.01117754,60.48741,2
2,33.76303,3.461039,-1.1511842,18.0649357,1
2,0,0,0,0,1
1,18.54744,-6.17000961,4.138942,5.163329,2
2,26.285284,1.76386213,7.72315025,13.9803791,1
2,0,0,0,0,2
2,32.56491,3.1104238,-48.060997,22.1036167,2
2,0,0,0,0,1
2,0,0,0,0,0
5,39.4984627,31.5399551,28.71138,99.37733,1
5,25.4416714,25.3055286,1.650361,50.6668167,2
3,37.4841,11.7961,15.4206362,57.7929153,2
2,0,0,0,0,2
3,23.69129,12.8432226,-17.9129181,26.855011,1
2,39.05044,2.337219,7.263535,18.5180378,2
5,25.7783566,31.3725834,-9.822109,54.4746628,1
3,40.6847267,8.117265,10.9687281,41.7339668,3
5,27.6441574,32.0795746,1.63101709,62.4014664,1
5,32.5035,39.5682144,-15.4707184,77.96269,1
3,27.3622532,12.5547352,-0.648296,38.3100166,0
6,30.0304146,53.99358,-18.81693,56.93479,1
4,27.8923588,20.05708,-5.74453449,47.321022,0
2,0,0,0,0,1
2,32.3283348,4.660711,-2.45048928,31.7821732,1
3,41.65344,7.261385,3.219206,53.9620323,2
2,0,0,0,0,1
1,32.76649,-9.569718,-5.49295425,4.323252,1
3,38.39163,9.396774,-13.6373549,40.7892456,0
1,32.8329544,-3.741859,-19.9186935,7.77229261,0
3,35.90000153,13.85000038,16.79000092,54.27000046,1
5,24.873455,24.6512852,-22.8918438,45.4791145,3
6,35.4062653,51.1026039,13.3587484,72.68979,3
4,23.27000046,20.15999985,-21.54000092,34.25999832,1
1,16.0893574,-52.6692162,-19.5832615,0.517154,0
3,26.4673271,13.690424,3.25230742,28.7853031,0
5,33.164238,34.6115074,-22.9470711,78.136055,2
1,20.0957584,-28.4657116,-4.86235046,2.22554326,0
2,0,0,0,0,1
2,0,0,0,0,0
2,0,0,0,0,2
6,36.2971535,55.17856,-30.699213,75.89331,3
3,38.6095619,9.091885,20.5900822,38.802166,2
5,31.2168179,39.41769,13.87522,71.9942,1
3,36.5483627,14.7974615,2.00349331,73.87973,1
2,0,0,0,0,2
2,0,0,0,0,2
3,43.68926,7.470282,6.30822754,55.45166,2
2,0,0,0,0,1
3,31.3617287,10.4933481,-10.754055,34.69032,3
2,0,0,0,0,3
4,27.15222,21.9588032,0.5191893,49.68878,0
5,35.9682121,41.90673,-3.70955968,92.5708,3
2,0,0,0,0,0
2,33.8834152,1.937937,-4.32142925,15.311121,1
4,34.544487,23.0067062,-8.52651,59.0086937,2
3,42.8644,7.27068758,-7.47023535,38.78594,1
1,40.1472473,-9.178594,14.3080845,5.47120237,2
5,37.8975754,38.1246567,-17.6982479,91.8118439,2
