,Player (175),Team,Pos.,Age,Exp,Type,Rights,2021-2022 AAV
0,James Harden,PHI,SG,32.8,12,UFA,Bird,"$42,782,880"
1,John Wall,HOU,PG,31.8,12,UFA,,"$42,782,880"
2,Bradley Beal,WAS,SG,29.0,10,UFA,Bird,"$35,073,168"
3,Gary Harris,ORL,SG,27.8,8,UFA,Bird,"$21,000,000"
4,Zach LaVine,CHI,SG,27.2,8,UFA,Bird,"$19,500,000"
5,Ricky Rubio,IND,PG,31.7,11,UFA,Bird,"$17,000,000"
6,Andre Iguodala,GSW,SF,38.4,18,UFA,Non-Bird,"$15,000,000"
7,Thaddeus Young,TOR,PF,34.0,15,UFA,Bird,"$14,545,000"
8,Joe Ingles,POR,SF,34.7,8,UFA,Bird,"$13,036,364"
9,Taurean Prince,MIN,PF,28.2,6,UFA,Bird,"$12,625,000"
10,Jusuf Nurkic,POR,C,27.8,8,UFA,Bird,"$12,000,000"
11,T.J. Warren,IND,SF,28.8,8,UFA,Bird,"$11,750,000"
12,Jeremy Lamb,SAC,SG,30.1,10,UFA,Bird,"$10,500,000"
13,Deandre Ayton,PHX,C,23.9,4,RFA,Bird,"$10,094,808"
14,Serge Ibaka,MIL,C,32.8,13,UFA,Early Bird,"$9,489,450"
15,Montrezl Harrell,CHA,PF,28.4,7,UFA,Early Bird,"$9,489,450"
16,Derrick Jones Jr.,CHI,SF,25.3,6,UFA,Early Bird,"$9,489,450"
17,Delon Wright,ATL,PG,30.2,7,UFA,Bird,"$9,350,000"
18,Kyle Anderson,MEM,SF,28.8,8,UFA,Bird,"$9,289,075"
19,Marvin Bagley III,DET,PF,23.2,4,RFA,Bird,"$9,034,369"
20,Tyus Jones,MEM,PG,26.1,7,UFA,Bird,"$8,815,100"
21,Thomas Bryant,WAS,C,24.8,5,UFA,Bird,"$8,333,333"
22,P.J. Tucker,MIA,PF,37.1,11,UFA,Non-Bird,"$7,175,000"
23,Chris Boucher,TOR,PF,29.4,5,UFA,Bird,"$6,760,000"
24,Jarrett Culver,MEM,SG,23.3,3,UFA,Bird,"$6,605,536"
25,Patrick Mills,BKN,PG,33.8,13,UFA,Non-Bird,"$6,037,250"
26,Mohamed Bamba,ORL,C,24.1,4,UFA,Bird,"$6,025,106"
27,Dennis Schröder,HOU,PG,28.8,9,UFA,Non-Bird,"$5,890,000"
28,Avery Bradley,LAL,PG,31.6,12,UFA,Non-Bird,"$5,635,000"
29,Collin Sexton,CLE,PG,23.4,4,RFA,Bird,"$5,043,778"
30,JaVale McGee,PHX,C,34.4,14,UFA,Non-Bird,"$5,000,000"
31,Robin Lopez,ORL,C,34.2,14,UFA,Non-Bird,"$5,000,000"
