season,cap,luxury_tax,bae,midlevel_exp_nontax,midlevel_exp_tax,midlevel_exp_teamroom,max_salary_0to6yrs$,max_salary_7to9yrs$,max_salary_10yrs$,min_salary_0yrs$,min_salary_1yrs$,min_salary_2yrs$,min_salary_10yrs$,max_salary_0to6yrs%,max_salary_7to9yrs%,max_salary_10yrs%,min_salary_0yrs%,min_salary_1yrs%,min_salary_2yrs%,min_salary_10yrs%
2034,227475000,275366000,7371000,18838000,11636000,9699000,55517250,66620700,77724150,1827809,2941586,3297390,5218546,0.244058688,0.292870425,0.341682163,0.008035208,0.012931469,0.014495615,0.022941185
2033,216643000,262253000,7020000,17941000,11082000,9237000,52873500,63448200,74022900,1740768,2801507,3140367,4970037,0.244058197,0.292869837,0.341681476,0.008035192,0.012931445,0.014495585,0.022941138
2032,206327000,249765000,6686000,17087000,10554000,8797000,50355750,60426900,70498050,1657875,2668104,2990828,4733372,0.244057976,0.292869571,0.341681166,0.008035182,0.012931434,0.014495573,0.022941118
2031,196502000,237871000,6368000,16273000,10051000,8378000,47957750,57549300,67140850,1578925,2541046,2848401,4507963,0.244057312,0.292868775,0.341680237,0.00803516,0.0129314,0.014495532,0.022941054
2030,187145000,226544000,6065000,15498000,9572000,7979000,45674000,54808800,63943600,1503737,2420041,2712760,4293294,0.244056747,0.292868097,0.341679446,0.008035144,0.012931369,0.014495498,0.022941003
2029,178233000,215756000,5776000,14760000,9116000,7599000,43499000,52198800,60898600,1432129,2304798,2583578,4088847,0.244056937,0.292868324,0.341679711,0.008035151,0.012931376,0.014495509,0.022941021
2028,169746000,205482000,5501000,14057000,8682000,7237000,41427500,49713000,57998500,1363928,2195039,2460543,3894129,0.244055825,0.29286699,0.341678154,0.008035111,0.012931315,0.01449544,0.022940918
2027,161663000,195697000,5367000,13714000,8470000,7060000,40415750,48498900,56582050,1330618,2141431,2400451,3799026,0.25,0.3,0.35,0.008230813,0.013246265,0.014848487,0.023499663
2026,153965000,186378000,5111000,13061000,8067000,6724000,38491250,46189500,53887750,1267257,2039461,2286147,3618126,0.25,0.3,0.35,0.008230812,0.013246264,0.014848485,0.023499666
2025,146633000,177503000,4868000,12439000,7683000,6404000,36658250,43989900,51321550,1206909,1942339,2177278,3445826,0.25,0.3,0.35,0.008230814,0.013246261,0.014848486,0.023499662
2024,139650000,169050000,4636000,11847000,7317000,6099000,34912500,41895000,48877500,1149433,1849840,2073591,3281728,0.25,0.3,0.35,0.008230813,0.013246259,0.014848485,0.023499663
2023,133000000,161000000,4415000,11283000,6969000,5809000,33250000,39900000,46550000,1094698,1761752,1974849,3125455,0.25,0.3,0.35,0.008230812,0.013246256,0.014848489,0.023499662
2022,123655000,150267000,4105000,10490000,6479000,5401000,30913750,37096500,43279250,1017781,1637966,1836090,2905851,0.25,0.3,0.35,0.008230812,0.013246258,0.01484849,0.023499664
2021,112414000,136606000,3732000,9536000,5890000,4910000,28103500,33724200,39344900,925258,1489065,1669178,2641691,0.25,0.3,0.35,0.008230808,0.013246259,0.014848489,0.023499662
2020,109140000,132627000,3623000,9258000,5718000,4767000,27285000,32742000,38199000,898310,1445697,1620564,2564753,0.25,0.3,0.35,0.008230804,0.013246262,0.014848488,0.023499661
2019,109140000,132627000,3623000,9258000,5718000,4767000,27285000,32742000,38199000,898310,1445697,1620564,2564753,0.25,0.3,0.35,0.008230804,0.013246262,0.014848488,0.023499661
2018,101869000,123733000,3382000,8641000,5337000,4449000,25467250,30560700,35654150,838464,1349383,1512601,2393887,0.25,0.3,0.35,0.008230806,0.013246257,0.014848492,0.023499661
2017,99093000,119266000,3290000,8406000,5192000,4328000,24773250,29727900,34682550,815615,1312611,1471382,2328652,0.25,0.3,0.35,0.008230803,0.013246254,0.014848496,0.023499662
2016,94143000,113287000,2203000,5628000,3477000,2898000,22116750,26540100,30963450,543471,874636,980431,1551659,0.234927185,0.281912622,0.328898059,0.005772824,0.009290505,0.010414274,0.016481937
2015,70000000,84740000,2139000,5464000,3376000,2814000,16407500,19689000,22970500,525093,845059,947276,1499187,0.234392857,0.281271429,0.32815,0.007501329,0.012072271,0.013532514,0.021416957
