Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season,mvpLastSeason,mvpLast3Seasons,allNba1LastSeason,allNba1Last3Season,allNba2LastSeason,allNba2Last3Season,allNba3LastSeason,allNba3Last3Season,dpoyLastSeason,dpoyLast3Season,smoyLastSeason,smoyLast3Season,mipLastSeason,mipLast3Season,faSeason,contractAmt,contractTerm,Pos_C,Pos_C-PF,Pos_PF,Pos_PF-C,Pos_PF-SF,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-C,Pos_SF-PF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-PG,Pos_SG-SF,faType_RFA,faType_UFA,cap,contract%cap
Carmelo Anthony,35,POR,58,58,32.8,5.8,13.5,.430,1.5,3.9,.385,4.3,9.6,.448,.485,2.3,2.8,.845,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9,15.4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2564753.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.023499660985889684
DJ Augustin,32,ORL,57,13,24.9,3.2,8.1,.399,1.2,3.5,.348,2.0,4.6,.438,.475,2.8,3.2,.890,0.4,1.8,2.1,4.6,0.6,0.0,1.5,1.3,10.5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21000000.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.06413780465457211
Dwayne Bacon,24,CHO,39,11,17.6,2.2,6.3,.348,0.5,1.7,.284,1.7,4.5,.373,.387,0.9,1.4,.660,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3,5.7,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3502857.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,109140000.0,0.016047539857064322
JJ Barea,35,DAL,29,6,15.5,2.9,7.1,.411,1.1,2.9,.376,1.8,4.2,.434,.488,0.7,0.8,.909,0.3,1.5,1.8,3.9,0.2,0.1,1.3,0.9,7.7,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2564753.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.023499660985889684
Nicolas Batum,31,CHO,22,3,23.0,1.3,3.7,.346,0.6,2.2,.286,0.6,1.5,.438,.432,0.4,0.5,.900,1.1,3.4,4.5,3.0,0.8,0.4,1.0,1.9,3.6,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2564753.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,109140000.0,0.023499660985889684
Aron Baynes,33,PHO,42,28,22.2,4.4,9.1,.480,1.4,4.0,.351,3.0,5.1,.582,.558,1.3,1.8,.747,1.7,4.0,5.6,1.6,0.2,0.5,1.2,3.4,11.5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14350000.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.06574124977093641
Kent Bazemore,30,TOT,68,21,24.8,2.9,7.9,.375,1.2,3.6,.344,1.7,4.3,.400,.453,1.7,2.2,.769,0.4,3.9,4.3,1.4,1.1,0.6,1.3,2.9,8.8,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2320044.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,109140000.0,0.021257504123144585
Malik Beasley,23,TOT,55,14,22.0,4.1,9.7,.425,1.9,5.0,.388,2.2,4.7,.465,.525,1.0,1.2,.818,0.3,2.4,2.7,1.4,0.7,0.1,1.0,1.4,11.2,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60000000.0,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,109140000.0,0.13743815283122596
DeAndre' Bembry,25,ATL,43,4,21.3,2.4,5.3,.456,0.3,1.5,.231,2.1,3.8,.546,.489,0.6,1.1,.542,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2.0,5.8,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3714156.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,109140000.0,0.017015557998900494
Davis Bertans,27,WAS,54,4,29.3,4.9,11.3,.434,3.7,8.7,.424,1.2,2.6,.471,.598,1.9,2.3,.852,0.6,3.9,4.5,1.7,0.7,0.6,1.1,2.6,15.4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80000000.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.1466006963533077
Bismack Biyombo,27,CHO,53,29,19.4,2.8,5.2,.543,0.0,0.0,,2.8,5.2,.543,.543,1.7,2.8,.603,2.3,3.5,5.8,0.9,0.2,0.9,0.9,2.2,7.4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3500000.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.032068902327286056
Bogdan Bogdanovic,27,SAC,61,28,29.0,5.5,12.6,.440,2.7,7.2,.372,2.8,5.3,.532,.547,1.4,1.9,.741,0.4,3.0,3.4,3.4,1.0,0.2,1.7,2.2,15.1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72000000.0,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,109140000.0,0.16492578339747113
Chris Boucher,27,TOR,62,0,13.2,2.3,4.8,.472,0.6,1.9,.322,1.7,2.9,.569,.535,1.5,1.9,.784,1.7,2.7,4.5,0.4,0.4,1.0,0.5,1.8,6.6,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13520000.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109140000.0,0.061938794209272494
Avery Bradley,29,LAL,49,44,24.2,3.5,7.8,.444,1.3,3.5,.364,2.2,4.3,.510,.526,0.4,0.5,.833,0.4,2.0,2.3,1.3,0.9,0.1,1.0,2.2,8.6,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5635000.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,109140000.0,0.05163093274693055
Oshae Brissett,21,TOR,19,0,7.1,0.7,1.9,.361,0.2,0.8,.200,0.5,1.1,.476,.403,0.4,0.5,.800,0.5,0.9,1.4,0.4,0.2,0.1,0.4,0.9,1.9,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3147290.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,109140000.0,0.014418590800806303
Trey Burke,27,TOT,33,1,15.8,2.8,6.3,.450,1.0,2.3,.427,1.9,4.1,.463,.526,0.7,0.9,.793,0.5,1.0,1.5,2.5,0.5,0.1,0.6,1.0,7.4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9450000.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.028862012094557448
Alec Burks,28,TOT,66,19,26.6,4.9,11.6,.418,1.8,4.6,.385,3.1,7.1,.439,.493,3.6,4.0,.887,0.7,3.5,4.3,2.9,0.9,0.3,1.4,1.9,15.0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6000000.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,109140000.0,0.05497526113249038
Kentavious Caldwell-Pope,26,LAL,69,26,25.5,3.4,7.3,.467,1.3,3.5,.385,2.1,3.9,.541,.558,1.1,1.5,.775,0.6,1.5,2.1,1.6,0.8,0.2,0.9,1.9,9.3,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39116585.0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,109140000.0,0.11946913749923645
Jevon Carter,24,PHO,58,2,16.3,1.7,4.2,.416,1.1,2.5,.425,0.7,1.7,.402,.543,0.4,0.5,.852,0.5,1.5,2.0,1.4,0.8,0.3,0.6,1.5,4.9,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11500000.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,109140000.0,0.0351230835013133
Michael Carter-Williams,28,ORL,45,0,18.5,2.5,5.8,.427,0.5,1.7,.293,2.0,4.1,.481,.469,1.8,2.1,.832,1.0,2.2,3.3,2.4,1.1,0.5,1.2,1.9,7.2,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6600000.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,109140000.0,0.030236393622869707
Willie Cauley-Stein,26,TOT,54,39,20.3,3.2,5.6,.579,0.0,0.0,.000,3.2,5.6,.581,.579,0.7,1.2,.606,1.6,4.3,5.8,1.3,0.9,1.1,0.7,2.2,7.2,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8200000.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.03756642844053509
Zylan Cheatham,24,NOP,4,0,12.8,1.5,2.3,.667,0.0,0.3,.000,1.5,2.0,.750,.667,0.0,0.0,,0.8,1.5,2.3,0.8,0.3,0.3,1.0,2.5,3.0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4994028.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109140000.0,0.015252666300164926
