Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season,mvpLastSeason,mvpLast3Seasons,allNba1LastSeason,allNba1Last3Season,allNba2LastSeason,allNba2Last3Season,allNba3LastSeason,allNba3Last3Season,dpoyLastSeason,dpoyLast3Season,smoyLastSeason,smoyLast3Season,mipLastSeason,mipLast3Season,faSeason,contractAmt,contractTerm,Pos_C,Pos_C-PF,Pos_PF,Pos_PF-C,Pos_PF-SF,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-C,Pos_SF-PF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-PG,Pos_SG-SF,faType_RFA,faType_UFA,cap
LaMarcus Aldridge,36,BRK,47,12,1050,252,458,.550,14,46,.304,238,412,.578,.566,89,102,.873,73,185,258,42,14,47,44,78,607,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123655000.0
Kyle Anderson,28,MEM,69,11,1484,209,469,.446,36,109,.330,173,360,.481,.484,67,105,.638,69,299,368,183,77,45,71,108,521,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18000000.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123655000.0
Carmelo Anthony,37,LAL,69,3,1793,319,723,.441,149,397,.375,170,326,.521,.544,132,159,.830,62,226,288,68,47,52,59,166,919,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123655000.0
Ryan Arcidiacono,27,NYK,10,0,76,6,12,.500,4,9,.444,2,3,.667,.667,0,0,,0,8,8,4,1,0,3,5,16,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,123655000.0
DJ Augustin,34,TOT,55,2,883,94,222,.423,68,164,.415,26,58,.448,.577,38,43,.884,11,57,68,107,17,1,56,39,294,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,123655000.0
Deandre Ayton,23,PHO,58,58,1713,442,697,.634,7,19,.368,435,678,.642,.639,106,142,.746,149,444,593,84,40,40,91,142,997,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,123655000.0
Marvin Bagley III,22,TOT,48,25,1146,225,446,.504,23,97,.237,202,349,.579,.530,67,101,.663,105,233,338,36,22,18,39,93,540,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37500000.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,123655000.0
Mo Bamba,23,ORL,71,69,1824,296,617,.480,107,281,.381,189,336,.563,.566,57,73,.781,148,424,572,85,38,118,77,182,756,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21000000.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123655000.0
Nicolas Batum,33,LAC,59,54,1462,179,387,.463,108,270,.400,71,117,.607,.602,25,38,.658,29,225,254,100,58,42,40,80,491,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22554168.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123655000.0
Kent Bazemore,32,LAL,39,14,545,45,139,.324,29,80,.363,16,59,.271,.428,13,17,.765,13,56,69,34,25,9,21,70,132,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,123655000.0
Bradley Beal,28,WAS,40,40,1439,348,771,.451,63,210,.300,285,561,.508,.492,169,203,.833,38,151,189,265,36,15,135,95,928,2022,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,251019650.0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,123655000.0
