Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season,mvpLastSeason,mvpLast3Seasons,allNba1LastSeason,allNba1Last3Season,allNba2LastSeason,allNba2Last3Season,allNba3LastSeason,allNba3Last3Season,dpoyLastSeason,dpoyLast3Season,smoyLastSeason,smoyLast3Season,mipLastSeason,mipLast3Season,faSeason,contractAmt,contractTerm,Pos_C,Pos_C-PF,Pos_PF,Pos_PF-C,Pos_PF-SF,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-C,Pos_SF-PF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-PG,Pos_SG-SF,faType_RFA,faType_UFA,cap
LaMarcus Aldridge,36,BRK,47,12,22.3,5.4,9.7,.550,0.3,1.0,.304,5.1,8.8,.578,.566,1.9,2.2,.873,1.6,3.9,5.5,0.9,0.3,1.0,0.9,1.7,12.9,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123655000.0
Kyle Anderson,28,MEM,69,11,21.5,3.0,6.8,.446,0.5,1.6,.330,2.5,5.2,.481,.484,1.0,1.5,.638,1.0,4.3,5.3,2.7,1.1,0.7,1.0,1.6,7.6,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18000000.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123655000.0
Carmelo Anthony,37,LAL,69,3,26.0,4.6,10.5,.441,2.2,5.8,.375,2.5,4.7,.521,.544,1.9,2.3,.830,0.9,3.3,4.2,1.0,0.7,0.8,0.9,2.4,13.3,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123655000.0
Ryan Arcidiacono,27,NYK,10,0,7.6,0.6,1.2,.500,0.4,0.9,.444,0.2,0.3,.667,.667,0.0,0.0,,0.0,0.8,0.8,0.4,0.1,0.0,0.3,0.5,1.6,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,123655000.0
DJ Augustin,34,TOT,55,2,16.1,1.7,4.0,.423,1.2,3.0,.415,0.5,1.1,.448,.577,0.7,0.8,.884,0.2,1.0,1.2,1.9,0.3,0.0,1.0,0.7,5.3,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,123655000.0
Deandre Ayton,23,PHO,58,58,29.5,7.6,12.0,.634,0.1,0.3,.368,7.5,11.7,.642,.639,1.8,2.4,.746,2.6,7.7,10.2,1.4,0.7,0.7,1.6,2.4,17.2,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,123655000.0
Marvin Bagley III,22,TOT,48,25,23.9,4.7,9.3,.504,0.5,2.0,.237,4.2,7.3,.579,.530,1.4,2.1,.663,2.2,4.9,7.0,0.8,0.5,0.4,0.8,1.9,11.3,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37500000.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,123655000.0
Mo Bamba,23,ORL,71,69,25.7,4.2,8.7,.480,1.5,4.0,.381,2.7,4.7,.563,.566,0.8,1.0,.781,2.1,6.0,8.1,1.2,0.5,1.7,1.1,2.6,10.6,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21000000.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123655000.0
Nicolas Batum,33,LAC,59,54,24.8,3.0,6.6,.463,1.8,4.6,.400,1.2,2.0,.607,.602,0.4,0.6,.658,0.5,3.8,4.3,1.7,1.0,0.7,0.7,1.4,8.3,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22554168.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123655000.0
Kent Bazemore,32,LAL,39,14,14.0,1.2,3.6,.324,0.7,2.1,.363,0.4,1.5,.271,.428,0.3,0.4,.765,0.3,1.4,1.8,0.9,0.6,0.2,0.5,1.8,3.4,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,123655000.0
Bradley Beal,28,WAS,40,40,36.0,8.7,19.3,.451,1.6,5.3,.300,7.1,14.0,.508,.492,4.2,5.1,.833,1.0,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2,2022,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,251019650.0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,123655000.0
Bismack Biyombo,29,PHO,36,3,14.1,2.4,4.0,.593,0.0,0.0,,2.4,4.0,.593,.593,1.1,2.0,.535,1.8,2.9,4.6,0.6,0.3,0.7,0.7,1.9,5.8,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2905851.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123655000.0
Nemanja Bjelica,33,GSW,71,0,16.1,2.3,4.8,.468,0.8,2.1,.362,1.5,2.7,.549,.547,0.8,1.1,.728,0.9,3.3,4.1,2.2,0.6,0.4,1.2,1.8,6.1,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123655000.0
Eric Bledsoe,32,LAC,54,29,25.2,3.6,8.7,.421,0.9,3.0,.313,2.7,5.6,.479,.475,1.6,2.2,.761,0.5,2.9,3.4,4.2,1.3,0.4,2.1,1.6,9.9,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,123655000.0
Keljin Blevins,26,POR,31,1,11.3,1.1,3.6,.306,0.7,2.3,.292,0.4,1.3,.333,.401,0.2,0.4,.545,0.5,0.9,1.5,0.6,0.4,0.0,0.5,0.9,3.1,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,123655000.0
Bol Bol,22,DEN,14,0,5.8,1.1,1.9,.556,0.1,0.3,.250,1.0,1.6,.609,.574,0.1,0.4,.400,0.3,1.1,1.4,0.4,0.1,0.1,0.3,0.3,2.4,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3968718.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123655000.0
Isaac Bonga,22,TOR,15,0,4.6,0.2,0.9,.231,0.1,0.3,.250,0.1,0.6,.222,.269,0.3,0.5,.625,0.3,0.2,0.5,0.3,0.5,0.1,0.1,0.7,0.8,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,123655000.0
Chris Boucher,29,TOR,80,9,21.1,3.4,7.2,.464,0.9,2.9,.297,2.5,4.4,.575,.523,1.9,2.4,.777,2.2,3.9,6.2,0.3,0.6,0.9,0.5,2.2,9.4,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35250000.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123655000.0
Avery Bradley,31,LAL,62,45,22.7,2.4,5.6,.423,1.3,3.4,.390,1.1,2.3,.471,.540,0.3,0.3,.889,0.5,1.7,2.2,0.8,0.9,0.1,0.6,1.9,6.4,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,123655000.0
Ignas Brazdeikis,23,ORL,42,1,12.8,1.9,4.5,.431,0.6,2.1,.310,1.3,2.4,.535,.503,0.5,0.8,.656,0.5,1.2,1.7,0.9,0.2,0.1,0.4,1.1,5.0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,123655000.0
Miles Bridges,23,CHO,80,80,35.5,7.5,15.2,.491,1.9,5.8,.331,5.5,9.4,.590,.554,3.3,4.2,.802,1.1,5.9,7.0,3.8,0.9,0.8,1.9,2.4,20.2,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,123655000.0
Moses Brown,22,TOT,40,6,8.6,1.6,2.7,.593,0.0,0.0,,1.6,2.7,.593,.593,1.1,1.8,.597,1.0,2.4,3.4,0.0,0.2,0.4,0.5,1.3,4.3,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123655000.0
Troy Brown Jr,22,CHI,66,7,16.0,1.6,3.9,.419,0.7,2.0,.353,0.9,1.9,.488,.510,0.3,0.4,.769,0.6,2.5,3.1,1.0,0.5,0.1,0.4,0.9,4.3,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1968185.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,123655000.0
Jalen Brunson,25,DAL,79,61,31.9,6.4,12.8,.502,1.2,3.2,.373,5.2,9.6,.545,.549,2.3,2.7,.840,0.5,3.4,3.9,4.8,0.8,0.0,1.6,1.9,16.3,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,104000000.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,123655000.0
