,season,award,player
0,2021,1st,Nikola Jokić
1,2021,1st,Giannis Antetokounmpo
2,2021,1st,Jayson Tatum
3,2021,1st,Luka Dončić
4,2021,1st,Devin Booker
5,2021,2nd,Joel Embiid
6,2021,2nd,Kevin Durant
7,2021,2nd,DeMar DeRozan
8,2021,2nd,Ja Morant
9,2021,2nd,Stephen Curry
10,2021,3rd,Karl-Anthony Towns
11,2021,3rd,LeBron James
12,2021,3rd,Pascal Siakam
13,2021,3rd,Chris Paul
14,2021,3rd,Trae Young
15,2020,1st,Nikola Jokić
16,2020,1st,Giannis Antetokounmpo
17,2020,1st,Kawhi Leonard
18,2020,1st,Stephen Curry
19,2020,1st,Luka Dončić
20,2020,2nd,Joel Embiid
21,2020,2nd,Julius Randle
22,2020,2nd,LeBron James
23,2020,2nd,Chris Paul
24,2020,2nd,Damian Lillard
25,2020,3rd,Rudy Gobert
26,2020,3rd,Jimmy Butler
27,2020,3rd,Paul George
28,2020,3rd,Bradley Beal
29,2020,3rd,Kyrie Irving
30,2019,1st,Anthony Davis
31,2019,1st,Giannis Antetokounmpo
32,2019,1st,LeBron James
33,2019,1st,James Harden
34,2019,1st,Luka Dončić
35,2019,2nd,Nikola Jokić
36,2019,2nd,Kawhi Leonard
37,2019,2nd,Pascal Siakam
38,2019,2nd,Damian Lillard
39,2019,2nd,Chris Paul
40,2019,3rd,Rudy Gobert
41,2019,3rd,Jayson Tatum
42,2019,3rd,Jimmy Butler
43,2019,3rd,Ben Simmons
44,2019,3rd,Russell Westbrook
45,2018,1st,Nikola Jokić
46,2018,1st,Giannis Antetokounmpo
47,2018,1st,Paul George
48,2018,1st,James Harden
49,2018,1st,Stephen Curry
50,2018,2nd,Joel Embiid
51,2018,2nd,Kevin Durant
52,2018,2nd,Kawhi Leonard
53,2018,2nd,Damian Lillard
54,2018,2nd,Kyrie Irving
55,2018,3rd,Rudy Gobert
56,2018,3rd,LeBron James
57,2018,3rd,Blake Griffin
58,2018,3rd,Kemba Walker
59,2018,3rd,Russell Westbrook
60,2017,1st,Anthony Davis
61,2017,1st,LeBron James
62,2017,1st,Kevin Durant
63,2017,1st,Damian Lillard
64,2017,1st,James Harden
65,2017,2nd,Joel Embiid
66,2017,2nd,Giannis Antetokounmpo
67,2017,2nd,LaMarcus Aldridge
68,2017,2nd,Russell Westbrook
69,2017,2nd,DeMar DeRozan
70,2017,3rd,Karl-Anthony Towns
71,2017,3rd,Jimmy Butler
72,2017,3rd,Paul George
73,2017,3rd,Stephen Curry
74,2017,3rd,Victor Oladipo
75,2016,1st,Anthony Davis
76,2016,1st,LeBron James
77,2016,1st,Kawhi Leonard
78,2016,1st,James Harden
79,2016,1st,Russell Westbrook
80,2016,2nd,Rudy Gobert
81,2016,2nd,Giannis Antetokounmpo
82,2016,2nd,Kevin Durant
83,2016,2nd,Stephen Curry
84,2016,2nd,Isaiah Thomas
85,2016,3rd,DeAndre Jordan
86,2016,3rd,Draymond Green
87,2016,3rd,Jimmy Butler
