"first_name","last_name","games","starts","minutes","points","two_points_made","two_points_attempted","three_points_made","three_points_attempted","free_throws_made","free_throws_attempted","blocked_shot_attempts","offensive_rebounds","defensive_rebounds","assists","screen_assists","turnovers","steals","deflections","loose_balls_recovered","blocked_shots","personal_fouls","personal_fouls_drawn","charges_drawn","technical_fouls","flagrant_fouls","possessions","team_possessions","age","nba"
"abdoulaye","mays",16,14,359.09,112,30,74,13,29,13,22,7,34,69,14,0,25,17,0,0,13,38,25,0,0,0,603.5207,1084.0514,30,0
"abdul","flynn",52,18,1098.18,625,102,183,116,241,73,83,18,12,62,84,0,67,23,0,0,1,94,90,0,0,0,1859.4422,4275.727,25,1
"adiguzel","auguste",37,28,974.98,508,80,181,88,206,84,98,17,8,101,65,0,54,22,0,0,2,75,97,0,0,0,1765.8553,2904.9223,25,0
"agbelese","butterfield",2,0,33.38,12,2,7,1,3,5,6,0,1,4,13,0,6,3,0,0,0,5,5,0,0,0,61.2923,734.4944,29,0
"ager","koenig",43,43,1108,598,233,446,1,6,129,196,23,161,215,39,0,58,22,0,0,14,137,195,0,0,0,2046.3889,3232.1124,28,0
"ahearn","barnies",5,0,79.52,25,4,20,5,17,2,7,1,0,7,4,0,7,2,0,0,0,11,8,0,0,0,142.0009,1142.8748,27,0
"ahmad","rice",3,1,31.26,15,6,7,0,0,3,5,0,0,6,0,0,0,2,0,0,3,5,7,0,0,0,53.4837,410.6237,21,1
"ahmet","ridnour",9,4,159.33,31,8,19,1,8,12,20,1,2,8,21,0,17,8,0,0,0,13,19,0,0,0,269.2853,1962.2319,29,0
"al","garuba",18,2,327.08,111,12,28,20,73,27,35,1,16,45,19,0,12,13,0,0,2,44,40,0,0,0,567.3011,2081.3264,36,0
"alando","nedovic",2,0,26.75,14,4,6,1,4,3,4,0,0,1,1,0,2,0,0,0,0,1,3,0,0,0,46.7968,1128.3718,23,0
