,player,age,team,position,marketValue
0,Thibaut Courtois,30,Real Madrid,gk,66.0
1,Andriy Lunin,23,Real Madrid,gk,2.75
2,Éder Militão,24,Real Madrid,defender,66.0
3,David Alaba,30,Real Madrid,defender,60.5
4,Antonio Rüdiger,29,Real Madrid,defender,44.0
5,Nacho Fernández,32,Real Madrid,defender,7.7
6,Jesús Vallejo,25,Real Madrid,defender,3.3
7,Ferland Mendy,27,Real Madrid,defender,44.0
8,Daniel Carvajal,30,Real Madrid,defender,19.8
9,Álvaro Odriozola,26,Real Madrid,defender,11.0
10,Aurélien Tchouameni,22,Real Madrid,midfielder,88.0
11,Federico Valverde,24,Real Madrid,midfielder,88.0
12,Eduardo Camavinga,19,Real Madrid,midfielder,60.5
13,Toni Kroos,32,Real Madrid,midfielder,22.0
14,Dani Ceballos,26,Real Madrid,midfielder,15.4
15,Luka Modric,37,Real Madrid,midfielder,11.0
16,Vinicius Junior,22,Real Madrid,forward,132.0
17,Eden Hazard,31,Real Madrid,forward,13.2
18,Rodrygo,21,Real Madrid,forward,77.0
19,Marco Asensio,26,Real Madrid,forward,38.5
20,Lucas Vázquez,31,Real Madrid,forward,13.2
21,Karim Benzema,34,Real Madrid,forward,33.0
22,Mariano Díaz,29,Real Madrid,forward,4.4
23,Marc-André ter Stegen,30,FC Barcelona,gk,33.0
24,Iñaki Peña,23,FC Barcelona,gk,4.62
25,Arnau Tenas,21,FC Barcelona,gk,1.65
26,Ronald Araújo,23,FC Barcelona,defender,66.0
27,Jules Koundé,23,FC Barcelona,defender,66.0
28,Andreas Christensen,26,FC Barcelona,defender,38.5
29,Eric García,21,FC Barcelona,defender,19.8
30,Gerard Piqué,35,FC Barcelona,defender,3.3
31,Marcos Alonso,31,FC Barcelona,defender,13.2
32,Jordi Alba,33,FC Barcelona,defender,9.9
33,Alejandro Balde,19,FC Barcelona,defender,8.8
34,Héctor Bellerín,27,FC Barcelona,defender,22.0
35,Sergi Roberto,30,FC Barcelona,defender,6.6
36,Sergio Busquets,34,FC Barcelona,midfielder,9.9
37,Pedri,19,FC Barcelona,midfielder,99.0
38,Gavi,18,FC Barcelona,midfielder,77.0
39,Frenkie de Jong,25,FC Barcelona,midfielder,66.0
40,Franck Kessié,25,FC Barcelona,midfielder,49.5
41,Pablo Torre,19,FC Barcelona,midfielder,3.3
42,Ansu Fati,20,FC Barcelona,forward,66.0
43,Ferran Torres,22,FC Barcelona,forward,44.0
44,Ousmane Dembélé,25,FC Barcelona,forward,55.0
45,Raphinha,25,FC Barcelona,forward,55.0
46,Robert Lewandowski,34,FC Barcelona,forward,49.5
47,Memphis Depay,28,FC Barcelona,forward,27.5
48,Jan Oblak,29,Atlético de Madrid,gk,44.0
49,Ivo Grbic,26,Atlético de Madrid,gk,3.85
50,José María Giménez,27,Atlético de Madrid,defender,49.5
51,Mario Hermoso,27,Atlético de Madrid,defender,19.8
52,Stefan Savic,31,Atlético de Madrid,defender,15.4
53,Felipe,33,Atlético de Madrid,defender,6.6
54,Sergio Reguilón,25,Atlético de Madrid,defender,27.5
55,Reinildo Mandava,28,Atlético de Madrid,defender,27.5
56,Nahuel Molina,24,Atlético de Madrid,defender,22.0
57,Geoffrey Kondogbia,29,Atlético de Madrid,midfielder,22.0
58,Axel Witsel,33,Atlético de Madrid,midfielder,5.5
59,Marcos Llorente,27,Atlético de Madrid,midfielder,44.0
60,Rodrigo de Paul,28,Atlético de Madrid,midfielder,38.5
61,Koke,30,Atlético de Madrid,midfielder,22.0
62,Saúl Ñíguez,27,Atlético de Madrid,midfielder,22.0
63,Thomas Lemar,26,Atlético de Madrid,midfielder,38.5
64,Yannick Carrasco,29,Atlético de Madrid,forward,44.0
65,Ángel Correa,27,Atlético de Madrid,forward,44.0
66,João Félix,22,Atlético de Madrid,forward,77.0
67,Antoine Griezmann,31,Atlético de Madrid,forward,38.5
68,Matheus Cunha,23,Atlético de Madrid,forward,33.0
69,Álvaro Morata,30,Atlético de Madrid,forward,27.5
70,Álex Remiro,27,Real Sociedad,gk,24.2
71,Andoni Zubiaurre,25,Real Sociedad,gk,0.33
72,Robin Le Normand,25,Real Sociedad,defender,38.5
73,Aritz Elustondo,28,Real Sociedad,defender,22.0
74,Igor Zubeldia,25,Real Sociedad,defender,16.5
75,Jon Pacheco,21,Real Sociedad,defender,1.1
76,Aihen Muñoz,25,Real Sociedad,defender,6.6
77,Diego Rico,29,Real Sociedad,defender,3.3
78,Andoni Gorosabel,26,Real Sociedad,defender,11.0
79,Álex Sola,23,Real Sociedad,defender,1.65
80,Martín Zubimendi,23,Real Sociedad,midfielder,38.5
81,Asier Illarramendi,32,Real Sociedad,midfielder,3.3
82,Mikel Merino,26,Real Sociedad,midfielder,55.0
83,Ander Guevara,25,Real Sociedad,midfielder,5.5
84,Beñat Turrientes,20,Real Sociedad,midfielder,3.3
85,Brais Méndez,25,Real Sociedad,midfielder,24.2
86,David Silva,36,Real Sociedad,midfielder,4.4
87,Robert Navarro,20,Real Sociedad,midfielder,3.3
88,Mikel Oyarzabal,25,Real Sociedad,forward,66.0
89,Ander Barrenetxea,20,Real Sociedad,forward,9.9
90,Martín Merquelanz,27,Real Sociedad,forward,1.65
91,Takefusa Kubo,21,Real Sociedad,forward,9.9
92,Umar Sadiq,25,Real Sociedad,forward,19.8
93,Momo Cho,18,Real Sociedad,forward,16.5
94,Alexander Sörloth,26,Real Sociedad,forward,11.0
95,Carlos Fernández,26,Real Sociedad,forward,5.5
96,Jon Karrikaburu,20,Real Sociedad,forward,5.5
97,Gerónimo Rulli,30,Villarreal CF,gk,6.6
98,Filip Jörgensen,20,Villarreal CF,gk,1.1
99,Pepe Reina,40,Villarreal CF,gk,0.77
100,Pau Torres,25,Villarreal CF,defender,55.0
101,Jorge Cuenca,22,Villarreal CF,defender,8.8
102,Aïssa Mandi,31,Villarreal CF,defender,6.6
103,Raúl Albiol,37,Villarreal CF,defender,3.3
104,Alfonso Pedraza,26,Villarreal CF,defender,19.8
105,Johan Mojica,30,Villarreal CF,defender,5.5
106,Alberto Moreno,30,Villarreal CF,defender,5.5
107,Juan Foyth,24,Villarreal CF,defender,27.5
108,Kiko Femenía,31,Villarreal CF,defender,2.75
109,Francis Coquelin,31,Villarreal CF,midfielder,5.5
110,Étienne Capoue,34,Villarreal CF,midfielder,3.3
111,Giovani Lo Celso,26,Villarreal CF,midfielder,24.2
112,Manu Trigueros,31,Villarreal CF,midfielder,13.2
113,Dani Parejo,33,Villarreal CF,midfielder,9.9
114,Manu Morlanes,23,Villarreal CF,midfielder,5.5
115,Álex Baena,21,Villarreal CF,forward,11.0
116,Yéremy Pino,20,Villarreal CF,forward,44.0
117,Samuel Chukwueze,23,Villarreal CF,forward,22.0
118,Nicolas Jackson,21,Villarreal CF,forward,11.0
119,Arnaut Danjuma,25,Villarreal CF,forward,55.0
120,Gerard Moreno,30,Villarreal CF,forward,44.0
121,José Luis Morales,35,Villarreal CF,forward,4.4
122,Bono,31,Sevilla FC,gk,19.8
123,Marko Dmitrović,30,Sevilla FC,gk,5.5
124,Marcão,26,Sevilla FC,defender,15.4
125,Tanguy Nianzou,20,Sevilla FC,defender,9.9
